"grantee_origin","lat_origin","long_origin","grantee_destination","lat_destination","long_destination","miles","minutes"
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Chelan-Douglas PTBA (Link)",47.467059,-120.326368,219.625512009862,237
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"City of Ellensburg",46.997139,-120.5429167,205.959074007794,211
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"City of Longview",46.1189275,-122.9470869,377.4413674143,371
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"City of Pullman",46.7358473,-117.1898316,35.4560616002545,46
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"City of Yakima",46.6146036,-120.5399701,209.984316591108,212
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Clallam County Public Transportation Benefit Area",48.1101329,-123.4625169,431.404969975344,438
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Coastal Community Action Program",46.9751055,-123.8181052,400.866439990456,396
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Columbia County Transit Authority",46.3135282,-117.9896769,66.1747892308916,73
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Community Action of Skagit County",48.4408499,-122.3360986,368.291055237414,357
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Community Transit",47.935911,-122.252329,333.588095522151,325
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Council on Aging & Human Services, Inc.",46.8795917,-117.3649728,47.9878758052971,56
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Cowlitz Indian Tribe",46.135192,-122.9327984,377.19965402052,370
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"ECHHO - Ecumenical Christian Helping Hands Organization",48.1150606,-122.7602944,403.110211365625,409
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Entiat Valley Community Services (EVCS)",47.6755363,-120.2099281,235.016255070389,254
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Entrust Community Services",46.594791,-120.5223518,207.985986836873,213
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Everett Transit",47.9747952,-122.1934996,333.994472281874,325
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Garfield County Transportation Authority",46.4744087,-117.5982103,28.9987721705241,32
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Grant Transit Authority",47.1284982,-119.2769928,149.871003340492,165
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Grays Harbor Transportation Authority",46.9717268,-123.8552435,402.989665354331,400
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Hopelink",47.6101989,-122.1414751,304.271802672393,299
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"HopeSource",46.9842027,-120.5386228,205.387412510936,209
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Human Services Council, Inc.",45.6214691,-122.5365338,336.693087369761,335
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Island County Public Transportation Benefit Area Corporation",48.2084833,-122.641684,359.712404557385,390
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Jamestown S'Klallam Tribe",48.0254542,-122.9962656,407.022985763143,405
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Jefferson Transit Authority",48.0505321,-122.8185547,397.33208064901,398
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Kalispel Indian Community of the Kalispel Reservation",48.3454559,-117.2718961,162.292213473316,184
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"King County Metro Transit",47.5990865,-122.3313145,311.920260677643,305
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Kitsap County Public Transportation Benefit Area Authority",47.5632656,-122.6247445,357.267930287123,355
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Klickitat County Senior Services",45.821592,-120.8236469,237.368145033007,244
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Lewis Public Transportation Benefit Area",46.7146295,-122.952936,357.89737930486,377
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Lower Columbia Community Action Council, Inc.",46.1402368,-122.9326816,377.634613855086,372
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Lower Elwha Klallam Tribe",48.1273148,-123.5426088,436.040399069434,445
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Lummi Tribe of the Lummi Reservation",48.7920179,-122.6261531,406.330778254991,395
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Makah Tribal Council",48.3648679,-124.6138052,499.245034001432,533
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Mason County Public Transportation Benefit Area",47.2406378,-123.1010602,376.068758450648,371
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Mid-Columbia Economic Development District (MCEDD)",45.5999847,-121.1787727,253.761159826613,255
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Mt. Si Senior Center",47.4928162,-121.7885425,283.656570627535,278
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Northshore Senior Center",47.7560448,-122.2026247,317.582816352501,310
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Okanogan County Transit Authority",48.3626993,-119.5817291,238.873106060606,272
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Okanogan County Transportation & Nutrition",48.3626993,-119.5817291,238.873106060606,272
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Olympic Community Action Programs (OlyCAP)",48.105573,-122.80489,400.957781555715,404
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Pacific County Public Transportation Benefit Area",46.6849881,-123.7348418,416.230464089716,417
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"People For People",46.6040141,-120.5146606,207.489511254275,210
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Pierce County Human Services",47.2499232,-122.4433833,325.261100174978,321
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Pierce Transit",47.1709133,-122.4844693,330.817401375964,327
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Puget Sound Educational Service District",47.4725062,-122.2346646,313.620953630796,308
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Rural Resources Community Action",48.5358622,-117.9056307,177.074634136642,201
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"San Juan County",48.5353048,-123.0194257,408.844224727591,484
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Sauk-Suiattle Indian Tribe",48.3200381,-121.5529776,385.730459118747,383
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Senior Services of Snohomish County",47.8203422,-122.3014052,325.263585659747,319
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Skagit Transit System",48.4806171,-122.3316855,371.755199634137,359
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Skamania County Senior Services",45.6923108,-121.8940865,297.900262467192,301
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Snohomish County Workforce Development Council",47.8763418,-122.2452246,326.364034041199,321
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Sound Generations",47.6136836,-122.3444571,314.928318619264,311
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Special Mobility Services, Inc.",45.5259917,-122.644411,334.879926230812,334
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Spokane Transit Authority",47.6683727,-117.430667,107.558110633898,118
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Spokane Tribe of Indians",47.886156,-117.9894493,146.779681659111,168
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Squaxin Island Tribe",47.1217757,-123.0803069,366.597197367375,361
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"The Arc of Tri-Cities",46.2346178,-119.2292752,132.045727948779,143
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Thurston County Public Benefit Transportation Area (Intercity Transit)",47.044311,-122.8574776,350.65716217291,345
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Thurston Regional Planning Council",47.0278081,-122.9202783,354.652578938996,349
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Tri County Economic Development District",48.5357394,-117.9070033,177.109430923407,202
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"United Way of Pierce County",47.2490399,-122.4371755,325.128748111032,320
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Valley Transit",46.0593099,-118.362419,97.2526694106418,109
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Wahkiakum County Health and Human Services",46.2152416,-123.3875323,404.178348445081,403
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"Whatcom Council of Governments",48.749823,-122.4734545,393.964870158276,380
"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,"White Pass Community Services Coalition  (WPCSC)",46.5577544,-122.2741656,312.92501789549,328
"Ben Franklin Transit",46.239185,-119.240989,"Around the Sound LLC",47.2312078,-122.4659419,221.912779368488,222
"Ben Franklin Transit",46.239185,-119.240989,"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,134.121107730852,145
"Ben Franklin Transit",46.239185,-119.240989,"Catholic Community Services of Snohomish County",47.98164,-122.2032403,230.64801558896,226
"Ben Franklin Transit",46.239185,-119.240989,"Catholic Community Services of Western Washington (King County)",47.601159,-122.3016677,207.274516821761,205
"Ben Franklin Transit",46.239185,-119.240989,"Catholic Community Services of Western Washington (Pierce County)",47.2496766,-122.4463095,221.464770738885,221
"Ben Franklin Transit",46.239185,-119.240989,"Catholic Community Services of Western Washington (Thurston County)",47.2496766,-122.4463095,221.464770738885,221
"Ben Franklin Transit",46.239185,-119.240989,"Chelan-Douglas PTBA (Link)",47.467059,-120.326368,128.759295713036,142
"Ben Franklin Transit",46.239185,-119.240989,"City of Ellensburg",46.997139,-120.5429167,101.979440069991,110
"Ben Franklin Transit",46.239185,-119.240989,"City of Longview",46.1189275,-122.9470869,256.871744014953,242
"Ben Franklin Transit",46.239185,-119.240989,"City of Pullman",46.7358473,-117.1898316,142.539444643283,140
"Ben Franklin Transit",46.239185,-119.240989,"City of Yakima",46.6146036,-120.5399701,80.1506700866937,76
"Ben Franklin Transit",46.239185,-119.240989,"Clallam County Public Transportation Benefit Area",48.1101329,-123.4625169,337.866857551897,336
"Ben Franklin Transit",46.239185,-119.240989,"Coastal Community Action Program",46.9751055,-123.8181052,307.328327567009,294
"Ben Franklin Transit",46.239185,-119.240989,"Columbia County Transit Authority",46.3135282,-117.9896769,69.6022727272727,74
"Ben Franklin Transit",46.239185,-119.240989,"Community Action of Skagit County",48.4408499,-122.3360986,264.31142129961,257
"Ben Franklin Transit",46.239185,-119.240989,"Community Transit",47.935911,-122.252329,229.60908295554,225
"Ben Franklin Transit",46.239185,-119.240989,"Council on Aging & Human Services, Inc.",46.8795917,-117.3649728,127.741489700151,122
"Ben Franklin Transit",46.239185,-119.240989,"Cowlitz Indian Tribe",46.135192,-122.9327984,256.630030621172,241
"Ben Franklin Transit",46.239185,-119.240989,"ECHHO - Ecumenical Christian Helping Hands Organization",48.1150606,-122.7602944,309.572098942178,307
"Ben Franklin Transit",46.239185,-119.240989,"Entiat Valley Community Services (EVCS)",47.6755363,-120.2099281,144.150660144755,159
"Ben Franklin Transit",46.239185,-119.240989,"Entrust Community Services",46.594791,-120.5223518,78.1523403324584,77
"Ben Franklin Transit",46.239185,-119.240989,"Everett Transit",47.9747952,-122.1934996,230.014838344071,225
"Ben Franklin Transit",46.239185,-119.240989,"Garfield County Transportation Authority",46.4744087,-117.5982103,105.122335560328,113
"Ben Franklin Transit",46.239185,-119.240989,"Grant Transit Authority",47.1284982,-119.2769928,80.5551827328402,85
"Ben Franklin Transit",46.239185,-119.240989,"Grays Harbor Transportation Authority",46.9717268,-123.8552435,309.451552930884,298
"Ben Franklin Transit",46.239185,-119.240989,"Hopelink",47.6101989,-122.1414751,200.29216873459,199
"Ben Franklin Transit",46.239185,-119.240989,"HopeSource",46.9842027,-120.5386228,101.407778573133,108
"Ben Franklin Transit",46.239185,-119.240989,"Human Services Council, Inc.",45.6214691,-122.5365338,216.123463970413,206
"Ben Franklin Transit",46.239185,-119.240989,"Island County Public Transportation Benefit Area Corporation",48.2084833,-122.641684,266.174292133938,288
"Ben Franklin Transit",46.239185,-119.240989,"Jamestown S'Klallam Tribe",48.0254542,-122.9962656,313.484873339696,303
"Ben Franklin Transit",46.239185,-119.240989,"Jefferson Transit Authority",48.0505321,-122.8185547,303.793968225563,296
"Ben Franklin Transit",46.239185,-119.240989,"Kalispel Indian Community of the Kalispel Reservation",48.3454559,-117.2718961,199.837946393064,199
"Ben Franklin Transit",46.239185,-119.240989,"King County Metro Transit",47.5990865,-122.3313145,207.940626739839,205
"Ben Franklin Transit",46.239185,-119.240989,"Kitsap County Public Transportation Benefit Area Authority",47.5632656,-122.6247445,253.28829634932,255
"Ben Franklin Transit",46.239185,-119.240989,"Klickitat County Senior Services",45.821592,-120.8236469,107.534498528593,108
"Ben Franklin Transit",46.239185,-119.240989,"Lewis Public Transportation Benefit Area",46.7146295,-122.952936,228.063732800445,241
"Ben Franklin Transit",46.239185,-119.240989,"Lower Columbia Community Action Council, Inc.",46.1402368,-122.9326816,257.064990455738,243
"Ben Franklin Transit",46.239185,-119.240989,"Lower Elwha Klallam Tribe",48.1273148,-123.5426088,342.502286645987,343
"Ben Franklin Transit",46.239185,-119.240989,"Lummi Tribe of the Lummi Reservation",48.7920179,-122.6261531,312.792665831544,293
"Ben Franklin Transit",46.239185,-119.240989,"Makah Tribal Council",48.3648679,-124.6138052,405.706921577985,431
"Ben Franklin Transit",46.239185,-119.240989,"Mason County Public Transportation Benefit Area",47.2406378,-123.1010602,272.089745884037,271
"Ben Franklin Transit",46.239185,-119.240989,"Mid-Columbia Economic Development District (MCEDD)",45.5999847,-121.1787727,133.191536427265,126
"Ben Franklin Transit",46.239185,-119.240989,"Mt. Si Senior Center",47.4928162,-121.7885425,179.677558060924,178
"Ben Franklin Transit",46.239185,-119.240989,"Northshore Senior Center",47.7560448,-122.2026247,213.603182414698,210
"Ben Franklin Transit",46.239185,-119.240989,"Okanogan County Transit Authority",48.3626993,-119.5817291,193.298014594767,200
"Ben Franklin Transit",46.239185,-119.240989,"Okanogan County Transportation & Nutrition",48.3626993,-119.5817291,193.298014594767,200
"Ben Franklin Transit",46.239185,-119.240989,"Olympic Community Action Programs (OlyCAP)",48.105573,-122.80489,307.419669132268,302
"Ben Franklin Transit",46.239185,-119.240989,"Pacific County Public Transportation Benefit Area",46.6849881,-123.7348418,274.935625944484,298
"Ben Franklin Transit",46.239185,-119.240989,"People For People",46.6040141,-120.5146606,77.6558647498608,74
"Ben Franklin Transit",46.239185,-119.240989,"Pierce County Human Services",47.2499232,-122.4433833,221.282087608367,220
"Ben Franklin Transit",46.239185,-119.240989,"Pierce Transit",47.1709133,-122.4844693,226.838388809353,226
"Ben Franklin Transit",46.239185,-119.240989,"Puget Sound Educational Service District",47.4725062,-122.2346646,209.641941064185,208
"Ben Franklin Transit",46.239185,-119.240989,"Rural Resources Community Action",48.5358622,-117.9056307,208.713612502983,214
"Ben Franklin Transit",46.239185,-119.240989,"San Juan County",48.5353048,-123.0194257,315.306112304144,382
"Ben Franklin Transit",46.239185,-119.240989,"Sauk-Suiattle Indian Tribe",48.3200381,-121.5529776,292.192346695299,281
"Ben Franklin Transit",46.239185,-119.240989,"Senior Services of Snohomish County",47.8203422,-122.3014052,221.284573093136,219
"Ben Franklin Transit",46.239185,-119.240989,"Skagit Transit System",48.4806171,-122.3316855,278.216465839497,257
"Ben Franklin Transit",46.239185,-119.240989,"Skamania County Senior Services",45.6923108,-121.8940865,163.746843434343,176
"Ben Franklin Transit",46.239185,-119.240989,"Snohomish County Workforce Development Council",47.8763418,-122.2452246,222.384400103396,220
"Ben Franklin Transit",46.239185,-119.240989,"Sound Generations",47.6136836,-122.3444571,210.94868468146,210
"Ben Franklin Transit",46.239185,-119.240989,"Special Mobility Services, Inc.",45.5259917,-122.644411,214.310302831464,205
"Ben Franklin Transit",46.239185,-119.240989,"Spokane Transit Authority",47.6683727,-117.430667,145.103843553647,134
"Ben Franklin Transit",46.239185,-119.240989,"Spokane Tribe of Indians",47.886156,-117.9894493,158.695095641454,161
"Ben Franklin Transit",46.239185,-119.240989,"Squaxin Island Tribe",47.1217757,-123.0803069,262.617563429571,261
"Ben Franklin Transit",46.239185,-119.240989,"The Arc of Tri-Cities",46.2346178,-119.2292752,0.749373657838225,4
"Ben Franklin Transit",46.239185,-119.240989,"Thurston County Public Benefit Transportation Area (Intercity Transit)",47.044311,-122.8574776,246.677528235107,244
"Ben Franklin Transit",46.239185,-119.240989,"Thurston Regional Planning Council",47.0278081,-122.9202783,250.673566372385,249
"Ben Franklin Transit",46.239185,-119.240989,"Tri County Economic Development District",48.5357394,-117.9070033,208.748409289748,215
"Ben Franklin Transit",46.239185,-119.240989,"United Way of Pierce County",47.2490399,-122.4371755,221.149114173228,219
"Ben Franklin Transit",46.239185,-119.240989,"Valley Transit",46.0593099,-118.362419,56.8585709456772,60
"Ben Franklin Transit",46.239185,-119.240989,"Wahkiakum County Health and Human Services",46.2152416,-123.3875323,283.608725045733,274
"Ben Franklin Transit",46.239185,-119.240989,"Whatcom Council of Governments",48.749823,-122.4734545,300.426757734829,278
"Ben Franklin Transit",46.239185,-119.240989,"White Pass Community Services Coalition  (WPCSC)",46.5577544,-122.2741656,183.090750019884,192
"Catholic Community Services of Snohomish County",47.98164,-122.2032403,"Around the Sound LLC",47.2312078,-122.4659419,62.1060506641215,68
"Catholic Community Services of Snohomish County",47.98164,-122.2032403,"Asotin County Public Transportation Benefit Area",46.4188573,-117.0680059,333.05744452398,324
